name,repository_url,repository_type,tag,xmi_files_urls,pogo_docs_url_base,upload_xmi_file,readme_url,documentation_url,documentation_type,documentation_title
SimulatorDS,https://github.com/tango-controls/SimulatorDS,Git,4.2,,https://raw.githubusercontent.com/tango-controls/SimulatorDS/4.2/doc_html/,,https://raw.githubusercontent.com/tango-controls/SimulatorDS/4.2/README.rst,https://github.com/tango-controls/SimulatorDS/blob/4.2/doc/SimulatorDS.rst,Manual,SimulatorDS Recipies
LiberaBrilliancePlus,https://github.com/MaxIV-KitsControls/Libera-BrilliancePlus,Git,v1.2.1-alpha,https://raw.githubusercontent.com/MaxIV-KitsControls/Libera-BrilliancePlus/v1.2.1-alpha/src/LiberaBrilliancePlus.xmi,,,https://raw.githubusercontent.com/MaxIV-KitsControls/Libera-BrilliancePlus/v1.2.1-alpha/README.md,,,
